FECHA;HORA;TEMPERATURA (°C);PRECIPITACION (mm/hora);HUMEDAD (%);DIRECCION DEL VIENTO (°);VELOCIDAD DEL VIENTO (m/s);NIVEL_LAGO
1/02/2024;00:00;12.2;0;67;26;2;3808.14
1/02/2024;01:00;11.2;0.8;74;33;4.1;3808.14
1/02/2024;02:00;10.7;0;75;86;1.6;3808.14
1/02/2024;03:00;10;1;78;38;3.2;3808.14
1/02/2024;04:00;8.2;3.6;86;1;1.2;3808.14
1/02/2024;05:00;7.4;1.6;90;299;0.8;3808.14
1/02/2024;06:00;7.8;1.2;87;187;2.2;3808.14
1/02/2024;07:00;8.5;0;79;172;2.1;3808.14
1/02/2024;08:00;9.3;0;72;164;2;3808.14
1/02/2024;09:00;10.5;0;68;101;3.5;3808.14
1/02/2024;10:00;12.5;0;63;100;3.7;3808.14
1/02/2024;11:00;13.3;0;58;86;4.5;3808.14
1/02/2024;12:00;14.3;0;48;86;4.3;3808.14
1/02/2024;13:00;14.6;0;48;84;4.1;3808.14
1/02/2024;14:00;14.9;0;50;115;5.6;3808.14
1/02/2024;15:00;15.8;0;51;93;5.3;3808.14
1/02/2024;16:00;15.9;0;50;87;5;3808.14
1/02/2024;17:00;16;0;46;94;4.2;3808.14
1/02/2024;18:00;15.4;0;47;86;4.4;3808.14
1/02/2024;19:00;13.5;0;54;99;5.4;3808.14
1/02/2024;20:00;13.5;0;54;99;5.4;3808.14
1/02/2024;21:00;13.3;0;51;104;3.5;3808.14
1/02/2024;22:00;13.2;S/D;S/D;S/D;S/D;3808.14
1/02/2024;23:00;13;0;60;103;5.8;3808.14
2/02/2024;00:00;12.5;0;63;144;4;3808.14
2/02/2024;01:00;11.3;0;66;217;2.3;3808.14
2/02/2024;02:00;10.3;0;68;196;3.9;3808.14
2/02/2024;03:00;10.3;0;67;237;1.8;3808.14
2/02/2024;04:00;10.5;0;66;218;0.8;3808.14
2/02/2024;05:00;10.1;0.2;70;243;2.3;3808.14
2/02/2024;06:00;10;0;70;132;1.1;3808.14
2/02/2024;07:00;9.6;0;76;330;2.7;3808.14
2/02/2024;08:00;9;0;79;342;3.1;3808.14
2/02/2024;09:00;8.4;2;82;23;3;3808.14
2/02/2024;10:00;8.4;0;82;23;3.1;3808.14
2/02/2024;11:00;9.3;0.2;80;79;5.2;3808.14
2/02/2024;12:00;9.9;0;78;75;3.6;3808.14
2/02/2024;13:00;10.5;0;77;79;3.7;3808.14
2/02/2024;14:00;11.4;0;72;92;3.4;3808.14
2/02/2024;15:00;12.6;0;69;103;4.9;3808.14
2/02/2024;16:00;13.4;0;65;65;4.5;3808.14
2/02/2024;17:00;13.7;0;57;70;5.2;3808.14
2/02/2024;18:00;12;0;63;74;4.1;3808.14
2/02/2024;19:00;11.3;0;68;74;2.6;3808.14
2/02/2024;20:00;S/D;S/D;S/D;S/D;S/D;3808.14
2/02/2024;21:00;10.6;0;73;186;2.2;3808.14
2/02/2024;22:00;9.9;0;76;204;2.2;3808.14
2/02/2024;23:00;9.7;0;75;285;2;3808.14
3/02/2024;00:00;9.9;0;74;289;1.3;3808.14
3/02/2024;01:00;10.2;0;72;319;1.2;3808.14
3/02/2024;02:00;9.8;0;74;329;1;3808.14
3/02/2024;03:00;8.9;0.4;80;246;2.8;3808.14
3/02/2024;04:00;7.8;0;85;249;1.3;3808.14
3/02/2024;05:00;7.6;0;83;317;0.7;3808.14
3/02/2024;06:00;8.1;0;80;69;1.4;3808.14
3/02/2024;07:00;8.1;0.2;83;337;2.6;3808.14
3/02/2024;08:00;8.3;0;82;261;1.1;3808.14
3/02/2024;09:00;9.7;0;75;20;0.9;3808.14
3/02/2024;10:00;10.3;0;70;244;1.6;3808.14
3/02/2024;11:00;11.9;0;64;19;3;3808.14
3/02/2024;12:00;13.1;0;62;94;3.1;3808.14
3/02/2024;13:00;14.1;0;57;106;3.8;3808.14
3/02/2024;14:00;15.1;0;51;92;5.2;3808.14
3/02/2024;15:00;15.3;0;51;90;5.7;3808.14
3/02/2024;16:00;15.6;0;47;64;3.7;3808.14
3/02/2024;17:00;15.9;0;46;76;4.2;3808.14
3/02/2024;18:00;15;0;47;64;3.5;3808.14
3/02/2024;19:00;13.1;0;54;49;1.6;3808.14
3/02/2024;20:00;13.1;0;54;49;1.6;3808.14
3/02/2024;21:00;12.3;0;59;56;1.9;3808.14
3/02/2024;22:00;11.8;0;62;43;2.4;3808.14
3/02/2024;23:00;11.5;0;68;48;2.7;3808.14
4/02/2024;00:00;11.1;0;69;34;4.5;3808.14
4/02/2024;01:00;10.5;0;70;8;3.5;3808.14
4/02/2024;02:00;10.3;0;72;37;3.2;3808.14
4/02/2024;03:00;9.9;0;70;45;3.5;3808.14
4/02/2024;04:00;9.5;0;68;8;4.5;3808.14
4/02/2024;05:00;9.4;0.2;67;336;2.1;3808.14
4/02/2024;06:00;8.3;1;77;249;1.4;3808.14
4/02/2024;07:00;8;0.8;83;295;1.9;3808.14
4/02/2024;08:00;7.5;3;85;293;1.9;3808.14
4/02/2024;09:00;8;0;81;260;1.5;3808.14
4/02/2024;10:00;8.2;0.2;79;175;2.1;3808.14
4/02/2024;11:00;9.1;0;74;158;1.1;3808.14
4/02/2024;12:00;12.3;0;63;153;2.2;3808.14
4/02/2024;13:00;13.5;0;57;115;5.4;3808.14
4/02/2024;14:00;14.2;0;52;90;4.3;3808.14
4/02/2024;15:00;15.1;0;46;98;3.9;3808.14
4/02/2024;16:00;15.6;0;34;95;4.8;3808.14
4/02/2024;17:00;15.4;0;36;84;3.7;3808.14
4/02/2024;18:00;15.1;0;36;85;2.4;3808.14
4/02/2024;19:00;13.9;0;38;70;2.6;3808.14
4/02/2024;20:00;12.6;0;40;64;1.5;3808.14
4/02/2024;21:00;11.8;S/D;47;S/D;S/D;3808.14
4/02/2024;22:00;11.2;0;55;299;1.3;3808.14
4/02/2024;23:00;11;0;62;63;2.2;3808.14
5/02/2024;00:00;10.6;0;69;295;1.1;3808.14
5/02/2024;01:00;10;0;69;185;1.4;3808.14
5/02/2024;02:00;9.5;0;70;286;1.2;3808.14
5/02/2024;03:00;9.5;0;74;56;1.7;3808.14
5/02/2024;04:00;9.5;0;79;51;3.2;3808.14
5/02/2024;05:00;9.3;0;77;30;2.3;3808.14
5/02/2024;06:00;9.2;0;73;349;0.7;3808.14
5/02/2024;07:00;8.6;0;76;50;0.5;3808.14
5/02/2024;08:00;10;0;70;3;1.1;3808.14
5/02/2024;09:00;10.8;0;66;345;1.9;3808.14
5/02/2024;10:00;11.6;0;60;341;3;3808.14
5/02/2024;11:00;12.1;0;57;20;5.2;3808.14
5/02/2024;12:00;13.3;0;54;78;2.1;3808.14
5/02/2024;13:00;14.6;0;52;127;4.2;3808.14
5/02/2024;14:00;15.3;0;50;73;4.2;3808.14
5/02/2024;15:00;14.9;0;52;102;4.2;3808.14
5/02/2024;16:00;16;0;47;94;4.7;3808.14
5/02/2024;17:00;15.2;0;47;79;3.4;3808.14
5/02/2024;18:00;13.8;0.8;51;294;1.3;3808.14
5/02/2024;19:00;11.3;0;59;61;3;3808.14
5/02/2024;20:00;11.3;0;59;61;3;3808.14
5/02/2024;21:00;10.8;0;65;272;2.1;3808.14
5/02/2024;22:00;10.2;0;60;342;1.2;3808.14
5/02/2024;23:00;10.1;0;64;51;2.5;3808.14
6/02/2024;00:00;10.2;0.2;76;51;3.5;3808.14
6/02/2024;01:00;7.2;6.4;91;78;3.6;3808.14
6/02/2024;02:00;6.7;2.8;95;115;1.2;3808.14
6/02/2024;03:00;7.2;0.2;89;276;1.5;3808.14
6/02/2024;04:00;7.6;0;83;298;1;3808.14
6/02/2024;05:00;7.2;0;84;339;2.4;3808.14
6/02/2024;06:00;6.8;1.6;87;319;1.3;3808.14
6/02/2024;07:00;6.4;1.6;89;302;1.2;3808.14
6/02/2024;08:00;6.4;1.2;87;43;0.6;3808.14
6/02/2024;09:00;6;1.6;90;207;0.6;3808.14
6/02/2024;10:00;6;2.2;89;81;4.4;3808.14
6/02/2024;11:00;5.9;0.8;88;78;1;3808.14
6/02/2024;12:00;8.4;0;78;134;1.4;3808.14
6/02/2024;13:00;10.7;0;69;138;1.9;3808.14
6/02/2024;14:00;12.3;0;62;159;1.9;3808.14
6/02/2024;15:00;13.5;0;56;112;3.4;3808.14
6/02/2024;16:00;14.1;0;57;111;4.9;3808.14
6/02/2024;17:00;13.9;0;54;87;4.6;3808.14
6/02/2024;18:00;13;0.2;58;75;3.3;3808.14
6/02/2024;19:00;11.5;0;59;187;4.1;3808.14
6/02/2024;20:00;9.8;0;65;172;3.1;3808.14
6/02/2024;21:00;10;0;62;222;2.3;3808.14
6/02/2024;22:00;10;0;61;312;1.2;3808.14
6/02/2024;23:00;9.7;S/D;62;264;1.2;3808.14
7/02/2024;00:00;9.9;0;63;317;1;3808.14
7/02/2024;01:00;9.7;0;67;278;1.1;3808.14
7/02/2024;02:00;9.1;0;70;289;1.2;3808.14
7/02/2024;03:00;8.7;0;71;325;1.5;3808.14
7/02/2024;04:00;8.5;0;71;335;3.9;3808.14
7/02/2024;05:00;7.6;0;80;326;2.9;3808.14
7/02/2024;06:00;7.6;0;80;271;0.9;3808.14
7/02/2024;07:00;7.1;1;85;48;1.5;3808.14
7/02/2024;08:00;6.7;0;87;197;2.2;3808.14
7/02/2024;09:00;7.8;0.2;82;140;1.3;3808.14
7/02/2024;10:00;9.7;0;74;122;2;3808.14
7/02/2024;11:00;10.7;0;66;275;2;3808.14
7/02/2024;12:00;11.9;0;59;55;1.5;3808.14
7/02/2024;13:00;13.6;0;57;100;3.1;3808.14
7/02/2024;14:00;14.3;0;58;79;4.1;3808.14
7/02/2024;15:00;11.6;1.6;61;239;2.6;3808.14
7/02/2024;16:00;10.7;0;62;5;2.4;3808.14
7/02/2024;17:00;13.5;0;54;190;2.2;3808.14
7/02/2024;18:00;14.2;0;50;350;2.2;3808.14
7/02/2024;19:00;10.9;0;63;145;3.5;3808.14
7/02/2024;20:00;10.9;0.2;63;145;3.5;3808.14
7/02/2024;21:00;S/D;S/D;S/D;S/D;S/D;3808.14
7/02/2024;22:00;9.2;S/D;71;328;0.9;3808.14
7/02/2024;23:00;S/D;S/D;S/D;S/D;S/D;3808.14
8/02/2024;00:00;9.6;0;70;322;2.6;3808.14
8/02/2024;01:00;8.7;0;77;314;2;3808.14
8/02/2024;02:00;8.1;0;78;308;1.4;3808.14
8/02/2024;03:00;7.7;0;82;300;1;3808.14
8/02/2024;04:00;7.6;0;82;270;2.4;3808.14
8/02/2024;05:00;7.6;0;81;320;1.7;3808.14
8/02/2024;06:00;7.4;0;81;340;1.6;3808.14
8/02/2024;07:00;7.5;0;79;273;1;3808.14
8/02/2024;08:00;8.4;0;76;202;0.4;3808.14
8/02/2024;09:00;10.1;0;70;100;1.4;3808.14
8/02/2024;10:00;11.3;0;66;91;1.5;3808.14
8/02/2024;11:00;12.6;0;58;96;3.2;3808.14
8/02/2024;12:00;13.9;0;49;89;2.8;3808.14
8/02/2024;13:00;14;0;53;83;4;3808.14
8/02/2024;14:00;14.6;0;54;97;3.6;3808.14
8/02/2024;15:00;13.4;0.4;54;348;3.2;3808.14
8/02/2024;16:00;10.8;0;69;25;6.5;3808.14
8/02/2024;17:00;10.3;0;69;41;3.4;3808.14
8/02/2024;18:00;10.9;0;65;265;1.5;3808.14
8/02/2024;19:00;10.1;0;67;325;1;3808.14
8/02/2024;20:00;10.1;0;67;325;1;3808.14
8/02/2024;21:00;S/D;S/D;S/D;S/D;S/D;3808.14
8/02/2024;22:00;10.5;0;63;51;0.9;3808.14
9/02/2024;00:00;9.2;0;55;327;2.8;3808.14
9/02/2024;01:00;8.4;0;60;290;2.4;3808.14
9/02/2024;02:00;8;0;61;322;2;3808.14
9/02/2024;03:00;7.5;0;55;335;3.2;3808.14
9/02/2024;04:00;7.4;0;51;246;3.2;3808.14
9/02/2024;05:00;7;0;53;290;2.1;3808.14
9/02/2024;06:00;6.8;0;56;300;1.7;3808.14
9/02/2024;07:00;6.6;0;58;294;1.8;3808.14
9/02/2024;08:00;7.4;0;54;287;0.4;3808.14
9/02/2024;09:00;10.3;0;50;88;1.6;3808.14
9/02/2024;10:00;10.9;0;50;93;1.6;3808.14
9/02/2024;11:00;13;0;44;302;2.1;3808.14
9/02/2024;12:00;14.6;0;38;104;2.9;3808.14
9/02/2024;13:00;15.9;0;35;335;2.7;3808.14
9/02/2024;14:00;16.4;0;34;56;3.1;3808.14
9/02/2024;15:00;17.5;0;32;15;3.6;3808.14
9/02/2024;16:00;18.4;0;32;55;3.1;3808.14
9/02/2024;17:00;16;0;51;81;4.7;3808.14
9/02/2024;18:00;15.6;0;49;73;4.4;3808.14
9/02/2024;19:00;15.3;0;49;66;3.7;3808.14
9/02/2024;20:00;13.6;0;59;60;1.4;3808.14
9/02/2024;21:00;S/D;S/D;S/D;S/D;S/D;3808.14
9/02/2024;22:00;8.7;4.6;77;187;5.6;3808.14
9/02/2024;23:00;9.8;0;66;233;2.9;3808.14
10/02/2024;00:00;9.6;0;66;142;3.1;3808.14
10/02/2024;01:00;9.9;0;57;120;3.1;3808.14
10/02/2024;02:00;8.9;0;64;352;1;3808.14
10/02/2024;03:00;8.3;0;70;334;1.2;3808.14
10/02/2024;04:00;8.7;0;69;283;1.5;3808.14
10/02/2024;05:00;8.9;0;69;305;1.2;3808.14
10/02/2024;06:00;8.3;0;66;308;1;3808.14
10/02/2024;07:00;7.5;0;70;305;1.4;3808.14
10/02/2024;08:00;8.5;0;67;294;2.5;3808.14
10/02/2024;09:00;9.5;0;66;9;2.6;3808.14
10/02/2024;10:00;10.5;0;65;359;2.8;3808.14
10/02/2024;11:00;12.5;0;59;324;1.9;3808.14
10/02/2024;12:00;14.5;0;49;347;2.9;3808.14
10/02/2024;13:00;15.7;0;45;9;3.2;3808.14
10/02/2024;14:00;16.8;0;42;322;2.3;3808.14
10/02/2024;15:00;17.5;0;39;337;1.7;3808.14
10/02/2024;16:00;17.9;0;44;93;3.4;3808.14
10/02/2024;17:00;17.3;0;48;75;6.3;3808.14
